2026-03-22 14:50:25 | DEBUG    | src.embedding | Embedding complete — dim=384
2026-03-22 14:50:25 | INFO     | src.pipeline | Storing vectors in Endee…
2026-03-22 14:50:25 | INFO     | src.vectorstore | Connecting to Endee at http://localhost:8080/api/v1
2026-03-22 14:50:25 | INFO     | src.vectorstore | Endee client initialised
2026-03-22 14:50:25 | INFO     | src.vectorstore | Index 'docmind_index' already exists, reusing it
2026-03-22 14:50:25 | INFO     | src.vectorstore | Upsert complete — 18 vectors stored in Endee
2026-03-22 14:50:25 | INFO     | src.pipeline | Ingestion complete — 1 doc(s), 18 chunks, 18 vectors
2026-03-22 14:50:45 | INFO     | src.query | Processing question: 'What is Artificial Intelligence?'
2026-03-22 14:50:45 | DEBUG    | src.embedding | Embedding 1 text(s) in batches of 64
2026-03-22 14:50:45 | DEBUG    | src.embedding | Embedding complete — dim=384
2026-03-22 14:50:46 | INFO     | src.query | Answer generated — 590 tokens used
